company,report_id,report_title,organization,year,link,local_pdf
amazon_aws,aws_sustainability_report_2025,Amazon 2025 Sustainability Report,Amazon / AWS,2025,https://sustainability.aboutamazon.com/2025-amazon-sustainability-report.pdf,amazon_2025_sustainability_report.pdf
amazon_aws,aws_withdrawal_trellis_2025,AWS data-centre withdrawal disclosure article,Trellis / Amazon reporting,2025,https://trellis.net/article/behind-amazons-industry-leading-water-efficiency-score/,trellis.net_article_behind-amazons-industry-leading-water-efficiency-score.html
amazon_aws,aws_water_efficiency_page_2025,AWS WUE and water use,Amazon / AWS,2024-2025,https://www.aboutamazon.com/news/sustainability/amazon-data-center-water-usage,www.aboutamazon.com_news_sustainability_amazon-data-center-water-usage.html
apple,apple_environmental_progress_report_2025,Apple Environmental Progress Report 2025,Apple,2024,https://www.apple.com/environment/pdf/Apple_Environmental_Progress_Report_2025.pdf,apple_environmental_progress_report_2025.pdf
context_energy,recinq_cloud_cpu_energy,re:cinq cloud CPU energy approach,re:cinq,2024,https://re-cinq.com/blog/cloud-cpu-energy-consumption,re-cinq.com_blog_cloud-cpu-energy-consumption.html
context_energy,cloud_carbon_footprint_methodology,Cloud Carbon Footprint methodology,Cloud Carbon Footprint,current docs,https://www.cloudcarbonfootprint.org/docs/methodology/,www.cloudcarbonfootprint.org_docs_methodology.html
equinix,equinix_wue_explainer,Equinix WUE cooling-type range,Equinix,2024,https://blog.equinix.com/blog/2024/11/13/what-is-water-usage-effectiveness-wue-in-data-centers/,blog.equinix.com_what-is-water-usage-effectiveness-wue-in-data-centers_fetch_snapshot.md
equinix,equinix_customer_water_reports_infopaper,Equinix Customer Water Reports Infopaper,Equinix,2024-2026,https://www.equinix.com/resources/infopapers/customer-water-reports,equinix_customer_water_reports_infopaper.pdf
equinix,equinix_sustainability_data_summary_2024,Equinix sustainability data summary PDF,Equinix / Green Web mirror,2024,https://media.greenweb.org/uploads/ds_sustainability_data_en.pdf,media.greenweb.org_uploads_ds_sustainability_data_en.pdf
equinix,equinix_sustainability_data_summary_page,Equinix sustainability data summary page,Equinix,2024,https://www.equinix.com/resources/data-sheets/sustainability-data-summary,www.equinix.com_resources_data-sheets_sustainability-data-summary.html
equinix,equinix_customer_water_reports_page,Equinix customer water reports,Equinix,2024-2026,https://www.equinix.com/resources/infopapers/customer-water-reports,www.equinix.com_resources_infopapers_customer-water-reports.html
google,google_datacenters_water_page,Google data-centre water reporting,Google,2024-2026,https://datacenters.google/water/,datacenters.google_water.html
google,google_cloud_carbon_footprint_methodology,Google Cloud Carbon Footprint methodology,Google Cloud,current docs,https://docs.cloud.google.com/carbon-footprint/docs/methodology,docs.cloud.google.com_carbon-footprint_docs_methodology.html
google,google_environmental_report_2025,Google 2025 Environmental Report,Google,"2024 data, 2025 reporting",https://sustainability.google/reports/google-2025-environmental-report/,google-2025-environmental-report.pdf
google,google_environmental_report_2026,Google 2026 Environmental Report,Google,"2025 data, 2026 reporting",https://sustainability.google/reports/google-2026-environmental-report/,google_2026_environmental_report.pdf
google,google_operations_water_gwpc_2024,Google direct operations water summary,Ground Water Protection Council / Google speaker material,"2025 report, 2024 data",https://www.gwpc.org/wp-content/uploads/2024/10/Eric-Olsen.pdf,www.gwpc.org_wp-content_uploads_2024_10_Eric-Olsen.pdf
google,google_the_dalles_records,Google The Dalles public records article,Latitude Media,2012-2021 and later,https://www.latitudemedia.com/news/data-center-water-use-black-box-google-trying-to-change/,www.latitudemedia.com_news_data-center-water-use-black-box-google-trying-to-change.html
meta,meta_sustainability_report_2024,Meta 2024 Sustainability Report,Meta,"2019-2023 data, 2024 reporting",https://sustainability.atmeta.com/wp-content/uploads/2024/08/Meta-2024-Sustainability-Report.pdf,meta_2024_sustainability_report.pdf
microsoft,microsoft_datacenter_wue_2025,Microsoft datacenter WUE,Microsoft,"2021, FY24-FY25",https://datacenters.microsoft.com/sustainability/efficiency/,datacenters.microsoft.com_sustainability_efficiency.html
microsoft,microsoft_environmental_data_factsheet_2026,Microsoft 2026 Environmental Data Fact Sheet,Microsoft,FY20-FY25,https://www.microsoft.com/en-us/corporate-responsibility/sustainability/report/,microsoft_2026_environmental_data_factsheet.pdf
microsoft,microsoft_environmental_sustainability_report_2026,Microsoft 2026 Environmental Sustainability Report,Microsoft,"2021, FY24-FY25",https://datacenters.microsoft.com/sustainability/efficiency/,microsoft_2026_environmental_sustainability_report.pdf
nvidia,nvidia_sustainability_report_fy2025,NVIDIA Sustainability Report Fiscal Year 2025,NVIDIA,FY25,https://images.nvidia.com/aem-dam/Solutions/documents/NVIDIA-Sustainability-Report-Fiscal-Year-2025.pdf,nvidia_sustainability_report_fy2025.pdf
salesforce,salesforce_stakeholder_impact_report_fy25,Salesforce FY25 Stakeholder Impact Report,Salesforce,FY25,https://www.salesforce.com/en-us/wp-content/uploads/sites/4/documents/white-papers/salesforce-fy25-stakeholder-impact-report.pdf,salesforce_fy25_stakeholder_impact_report.pdf
