provider,scope,location,period,metric,water_flow,percent,value_qualifier,caveat,source_report_id,source_url,report_year
Amazon Web Services,AWS global data-centre fleet,AWS data-centre withdrawal by WRI Aqueduct water-stress level,2025,Share of data-centre withdrawal by WRI Aqueduct water-stress level,withdrawal,48,exact,Amazon corporate operations and offices; region- or workload-level attribution; Leased and owned data centres; WRI 2030 BAU baseline scenario; medium-stress share not stated,amazon_2025_sustainability_report,https://sustainability.aboutamazon.com/,2025
Amazon Web Services,AWS global data-centre fleet,AWS data-centre withdrawal by WRI Aqueduct water-stress level,2025,Share of data-centre withdrawal by WRI Aqueduct water-stress level,withdrawal,22,exact,Amazon corporate operations and offices; region- or workload-level attribution; Leased and owned data centres; WRI 2030 BAU baseline scenario; medium-stress share not stated,amazon_2025_sustainability_report,https://sustainability.aboutamazon.com/,2025
Google (Alphabet Inc.),Google data centres,Google freshwater withdrawal by risk level,2024,Share of freshwater withdrawal by water-risk level,withdrawal,72,exact,Serves multiple Google products; not GCP-specific,google_environmental_report_2025,https://sustainability.google/reports/google-2025-environmental-report/,2025
Google (Alphabet Inc.),Google data centres,Google freshwater withdrawal by risk level,2024,Share of freshwater withdrawal by water-risk level,withdrawal,14,exact,Serves multiple Google products; not GCP-specific,google_environmental_report_2025,https://sustainability.google/reports/google-2025-environmental-report/,2025
Google (Alphabet Inc.),Google data centres,Google freshwater withdrawal by risk level,2024,Share of freshwater withdrawal by water-risk level,withdrawal,14,exact,Serves multiple Google products; not GCP-specific,google_environmental_report_2025,https://sustainability.google/reports/google-2025-environmental-report/,2025
Google (Alphabet Inc.),Google data centres,Google freshwater withdrawal by risk level,2025,Share of freshwater withdrawal by water-risk level,withdrawal,72,exact,Serves multiple Google products; not GCP-specific,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google data centres,Google freshwater withdrawal by risk level,2025,Share of freshwater withdrawal by water-risk level,withdrawal,15,exact,Serves multiple Google products; not GCP-specific,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google data centres,Google freshwater withdrawal by risk level,2025,Share of freshwater withdrawal by water-risk level,withdrawal,13,exact,Serves multiple Google products; not GCP-specific,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),"Google The Dalles, Oregon data centres","The Dalles, Oregon",2025,Share of city water use,provider_reported_water_use,40.0,approximate,Secondary source,google_the_dalles_records,https://www.latitudemedia.com/news/data-center-water-use-black-box-google-trying-to-change/,2025
Microsoft,Microsoft corporate operations in water-stressed areas,Global corporate operations,FY25,Share of withdrawal in water-stressed areas,withdrawal,50.0,exact,,microsoft_2026_environmental_data_factsheet,https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/final/en-us/microsoft-brand/documents/2026-Environmental-Data-Fact-Sheet.pdf,2026
Microsoft,Microsoft corporate operations in water-stressed areas,Global corporate operations,FY25,Share of discharge in water-stressed areas,discharge,54.0,exact,,microsoft_2026_environmental_data_factsheet,https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/final/en-us/microsoft-brand/documents/2026-Environmental-Data-Fact-Sheet.pdf,2026
Microsoft,Microsoft corporate operations in water-stressed areas,Global corporate operations,FY25,Share of consumption in water-stressed areas,consumption,48.0,exact,,microsoft_2026_environmental_data_factsheet,https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/final/en-us/microsoft-brand/documents/2026-Environmental-Data-Fact-Sheet.pdf,2026
Microsoft,Microsoft-owned datacentre location (FY25),Quincy (WA) datacentre,FY25,Share of withdrawal from recycled/reused/non-potable sources,withdrawal,74.0,exact,Excludes commissioning and locations collectively <1% of owned-datacentre withdrawal/electricity; Section 2 detail; not part of the assured Section 1 metrics.,microsoft_2026_environmental_data_factsheet,https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/final/en-us/microsoft-brand/documents/2026-Environmental-Data-Fact-Sheet.pdf,2026
Microsoft,Microsoft-owned datacentre location (FY25),San Antonio (TX) datacentre,FY25,Share of withdrawal from recycled/reused/non-potable sources,withdrawal,79.0,exact,Excludes commissioning and locations collectively <1% of owned-datacentre withdrawal/electricity; Section 2 detail; not part of the assured Section 1 metrics.,microsoft_2026_environmental_data_factsheet,https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/final/en-us/microsoft-brand/documents/2026-Environmental-Data-Fact-Sheet.pdf,2026
Microsoft,Microsoft-owned datacentre location (FY25),Singapore datacentre,FY25,Share of withdrawal from recycled/reused/non-potable sources,withdrawal,99.0,exact,Excludes commissioning and locations collectively <1% of owned-datacentre withdrawal/electricity; Section 2 detail; not part of the assured Section 1 metrics.,microsoft_2026_environmental_data_factsheet,https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/final/en-us/microsoft-brand/documents/2026-Environmental-Data-Fact-Sheet.pdf,2026
