provider,scope,location,period,metric,category,water_flow,value,reported_unit,value_liters,value_qualifier,caveat,source_report_id,source_url,report_year
Amazon Web Services,AWS direct data-centre operations (water-positive goal),AWS contracted future replenishment,2025,Water replenishment delivered,water_replenishment,replenishment,18,billion L,18000000000.0,greater_than,Forward-looking contracted volume,amazon_2025_sustainability_report,https://sustainability.aboutamazon.com/,2025
Amazon Web Services,AWS direct data-centre operations (water-positive goal),AWS direct data-centre operations,2024,Water-positive progress,water_positive_progress,replenishment,53,%,,exact,"Progress metric, not an operational water volume",amazon_2025_sustainability_report,https://sustainability.aboutamazon.com/,2025
Amazon Web Services,AWS direct data-centre operations (water-positive goal),AWS direct data-centre operations,2025,Water-positive progress,water_positive_progress,replenishment,75,%,,exact,"Progress metric, not an operational water volume",amazon_2025_sustainability_report,https://sustainability.aboutamazon.com/,2025
Amazon Web Services,AWS global data-centre fleet,AWS global data-centre fleet,2025,Cooling water avoided / potable water preserved,avoided_water,avoided_use,938,million L,938000000.0,exact,"Amazon corporate operations and offices; region- or workload-level attribution; Avoided/preserved water, not an operational withdrawal or consumption",amazon_2025_sustainability_report,https://sustainability.aboutamazon.com/,2025
Amazon Web Services,AWS global data-centre fleet,AWS global data-centre fleet,2025,Cooling water avoided / potable water preserved,avoided_water,avoided_use,849,million L,849000000.0,exact,"Amazon corporate operations and offices; region- or workload-level attribution; Avoided/preserved water, not an operational withdrawal or consumption",amazon_2025_sustainability_report,https://sustainability.aboutamazon.com/,2025
Amazon Web Services,AWS water-positive / replenishment program,AWS replenishment projects,2025,Expected annual replenishment return,water_replenishment,replenishment,5.8,billion US gal,21955388347.2,greater_than,Secondary source,aws_withdrawal_trellis_2025,https://trellis.net/article/behind-amazons-industry-leading-water-efficiency-score/,2025
Amazon Web Services,AWS water-positive / replenishment program,AWS replenishment projects,2030 target,Expected annual replenishment return,water_replenishment,replenishment,19.0,billion US gal,71922823896.0,greater_than,Forward-looking target; secondary source,aws_withdrawal_trellis_2025,https://trellis.net/article/behind-amazons-industry-leading-water-efficiency-score/,2025
Amazon Web Services,AWS direct data-centre operations (water-positive goal),AWS water replenishment portfolio (45 projects),2025,Water replenishment delivered,water_replenishment,replenishment,9.4,billion L,9400000000.0,exact,"Replenishment/offset, not netted against withdrawal; 45 projects at end of 2025",amazon_2025_sustainability_report,https://sustainability.aboutamazon.com/,2025
Amazon Web Services,AWS water-positive / replenishment program,AWS water-positive program,2025,Progress toward 2030 water-positive goal,water_positive_progress,replenishment,75.0,%,,approximate,Progress metric; not an operational water volume,aws_water_efficiency_page_2025,https://www.aboutamazon.com/news/sustainability/amazon-data-center-water-usage,2025
Amazon Web Services,AWS water-positive / replenishment program,AWS water-positive program,2025,Water returned per water used,water_positive_progress,replenishment,0.75,gallon returned per gallon used,,exact,"Return-to-use ratio; a replenishment/offset metric, not operational water",aws_water_efficiency_page_2025,https://www.aboutamazon.com/news/sustainability/amazon-data-center-water-usage,2025
Amazon Web Services,AWS water-positive / replenishment program,AWS water-positive program (50+ projects),2025,Expected annual replenishment return,water_replenishment,replenishment,5.8,billion US gal,21955388347.2,greater_than,"Expected annual return; replenishment, not operational water",aws_water_efficiency_page_2025,https://www.aboutamazon.com/news/sustainability/amazon-data-center-water-usage,2025
Google (Alphabet Inc.),Google water replenishment program,Google offices and data centres,2030 target,Replenishment ambition (2030 target),water_positive_progress,replenishment,120,%,,exact,,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google water replenishment program,Google operations,2022,Replenishment as share of freshwater consumption,water_positive_progress,replenishment,6,%,,exact,,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google water replenishment program,Google operations,2023,Replenishment as share of freshwater consumption,water_positive_progress,replenishment,18,%,,exact,,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google water replenishment program,Google operations,2024,Replenishment as share of freshwater consumption,water_positive_progress,replenishment,63,%,,exact,,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google water replenishment program,Google operations,2025,Replenishment as share of freshwater consumption,water_positive_progress,replenishment,78,%,,exact,,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google water replenishment program,Google replenishment program,2022,Water replenishment delivered,water_replenishment,replenishment,271,million US gal,1025846593.464,exact,,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google water replenishment program,Google replenishment program,2022,Water replenishment capacity,water_replenishment,replenishment,1317,million US gal,4985387319.528,exact,,google_environmental_report_2025,https://sustainability.google/reports/google-2025-environmental-report/,2025
Google (Alphabet Inc.),Google water replenishment program,Google replenishment program,2023,Water replenishment delivered,water_replenishment,replenishment,1036,million US gal,3921686608.224,exact,,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google water replenishment program,Google replenishment program,2023,Water replenishment capacity,water_replenishment,replenishment,2815,million US gal,10655934171.96,exact,,google_environmental_report_2025,https://sustainability.google/reports/google-2025-environmental-report/,2025
Google (Alphabet Inc.),Google water replenishment program,Google replenishment program,2024,Water replenishment delivered,water_replenishment,replenishment,4590,million US gal,17375040088.56,exact,,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google water replenishment program,Google replenishment program,2024,Water replenishment capacity,water_replenishment,replenishment,8268,million US gal,31297784630.112,exact,,google_environmental_report_2025,https://sustainability.google/reports/google-2025-environmental-report/,2025
Google (Alphabet Inc.),Google water replenishment program,Google replenishment program,2025,Water replenishment delivered,water_replenishment,replenishment,7717,million US gal,29212022737.128,exact,,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google water replenishment program,Google replenishment program,2030,Water replenishment capacity,water_replenishment,replenishment,19722,million US gal,74655891204.048,approximate,,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Microsoft,Microsoft water replenishment program,34 priority locations globally,FY25,"Contracted replenishment volume (lifetime, to date)",water_replenishment,replenishment,133.0,million m3,133000000000.0,greater_than,Cumulative lifetime figure across contracted projects; not an annual operational volume,microsoft_2026_environmental_sustainability_report,https://www.microsoft.com/en-us/corporate-responsibility/sustainability/report,2026
Microsoft,Microsoft-owned datacentre location (FY25),Cheyenne (WY) datacentre,FY25,Water replenishment delivered,water_replenishment,replenishment,61.0,ML,61000000.0,exact,Excludes commissioning and locations collectively <1% of owned-datacentre withdrawal/electricity; Section 2 detail; not part of the assured Section 1 metrics.,microsoft_2026_environmental_data_factsheet,https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/final/en-us/microsoft-brand/documents/2026-Environmental-Data-Fact-Sheet.pdf,2026
Microsoft,"Chicago, Illinois campus","Chicago, Illinois campus",FY25,Municipal water use reduction (year over year),water_positive_progress,provider_reported_water_use,30.0,%,,greater_than,Single-campus result; not fleet-wide,microsoft_2026_environmental_sustainability_report,https://www.microsoft.com/en-us/corporate-responsibility/sustainability/report,2026
Microsoft,Microsoft-owned datacentre location (FY25),Des Moines (IA) datacentre,FY25,Water replenishment delivered,water_replenishment,replenishment,122.0,ML,122000000.0,exact,Excludes commissioning and locations collectively <1% of owned-datacentre withdrawal/electricity; Section 2 detail; not part of the assured Section 1 metrics.,microsoft_2026_environmental_data_factsheet,https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/final/en-us/microsoft-brand/documents/2026-Environmental-Data-Fact-Sheet.pdf,2026
Microsoft,FIDO Tech leak-repair partnership (community),FIDO Tech partnership (community leak repairs),FY25,Water conserved via leak-repair partnership,water_positive_progress,avoided_use,8.5,million m3,8500000000.0,greater_than,Community/watershed conservation outside Microsoft operations; cumulative to date,microsoft_2026_environmental_sustainability_report,https://www.microsoft.com/en-us/corporate-responsibility/sustainability/report,2026
Microsoft,Microsoft-owned datacentre location (FY25),Madrid datacentre,FY25,Water replenishment delivered,water_replenishment,replenishment,515.0,ML,515000000.0,exact,Excludes commissioning and locations collectively <1% of owned-datacentre withdrawal/electricity; Section 2 detail; not part of the assured Section 1 metrics.,microsoft_2026_environmental_data_factsheet,https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/final/en-us/microsoft-brand/documents/2026-Environmental-Data-Fact-Sheet.pdf,2026
Microsoft,Microsoft owned-datacentre fleet,Microsoft owned datacentres (global),FY25,WUE reduction versus 2022 baseline,water_positive_progress,provider_reported_water_use,25.0,%,,exact,"Not Azure-specific; fleet average, not a workload factor",microsoft_2026_environmental_sustainability_report,https://www.microsoft.com/en-us/corporate-responsibility/sustainability/report,2026
Microsoft,Microsoft owned-datacentre fleet,Microsoft owned datacentres (global),FY30 target,WUE reduction versus 2022 baseline,water_positive_progress,provider_reported_water_use,40.0,%,,exact,"Not Azure-specific; fleet average, not a workload factor",microsoft_2026_environmental_sustainability_report,https://www.microsoft.com/en-us/corporate-responsibility/sustainability/report,2026
Microsoft,Microsoft water replenishment program,Microsoft replenishment program,FY25,Expected lifetime replenishment benefit,water_replenishment,replenishment,29.0,million m3,29000000000.0,greater_than,,microsoft_2026_environmental_sustainability_report,https://www.microsoft.com/en-us/corporate-responsibility/sustainability/report,2026
Microsoft,Microsoft water replenishment program,Microsoft replenishment program,FY25,Water replenishment delivered,water_replenishment,replenishment,14.2,million m3,14200000000.0,greater_than,Replenishment is not withdrawal/consumption/discharge; delivered locally watershed by watershed,microsoft_2026_environmental_sustainability_report,https://www.microsoft.com/en-us/corporate-responsibility/sustainability/report,2026
Microsoft,Per-datacentre cooling design benchmark,Per-datacentre design benchmark,FY25,Designed avoided cooling water per datacentre,avoided_water,avoided_use,125.0,million L,125000000.0,greater_than,,microsoft_2026_environmental_sustainability_report,https://www.microsoft.com/en-us/corporate-responsibility/sustainability/report,2026
Microsoft,Microsoft-owned datacentre location (FY25),Phoenix (AZ) datacentre,FY25,Water replenishment delivered,water_replenishment,replenishment,2675.0,ML,2675000000.0,exact,Excludes commissioning and locations collectively <1% of owned-datacentre withdrawal/electricity; Section 2 detail; not part of the assured Section 1 metrics.,microsoft_2026_environmental_data_factsheet,https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/final/en-us/microsoft-brand/documents/2026-Environmental-Data-Fact-Sheet.pdf,2026
Microsoft,"Phoenix, Arizona datacentres","Phoenix, Arizona datacentres",FY25,WUE reduction versus 2022 baseline,water_positive_progress,provider_reported_water_use,23.0,%,,exact,,microsoft_2026_environmental_sustainability_report,https://www.microsoft.com/en-us/corporate-responsibility/sustainability/report,2026
Microsoft,Microsoft-owned datacentre location (FY25),Queretaro datacentre,FY25,Water replenishment delivered,water_replenishment,replenishment,1119.0,ML,1119000000.0,exact,Excludes commissioning and locations collectively <1% of owned-datacentre withdrawal/electricity; Section 2 detail; not part of the assured Section 1 metrics.,microsoft_2026_environmental_data_factsheet,https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/final/en-us/microsoft-brand/documents/2026-Environmental-Data-Fact-Sheet.pdf,2026
Microsoft,Microsoft-owned datacentre location (FY25),Quincy (WA) datacentre,FY25,Water replenishment delivered,water_replenishment,replenishment,833.0,ML,833000000.0,exact,Excludes commissioning and locations collectively <1% of owned-datacentre withdrawal/electricity; Section 2 detail; not part of the assured Section 1 metrics.,microsoft_2026_environmental_data_factsheet,https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/final/en-us/microsoft-brand/documents/2026-Environmental-Data-Fact-Sheet.pdf,2026
Microsoft,Microsoft-owned datacentre location (FY25),San Antonio (TX) datacentre,FY25,Water replenishment delivered,water_replenishment,replenishment,922.0,ML,922000000.0,exact,Excludes commissioning and locations collectively <1% of owned-datacentre withdrawal/electricity; Section 2 detail; not part of the assured Section 1 metrics.,microsoft_2026_environmental_data_factsheet,https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/final/en-us/microsoft-brand/documents/2026-Environmental-Data-Fact-Sheet.pdf,2026
