provider,scope,location,period,metric,category,water_flow,value,reported_unit,value_liters,value_qualifier,caveat,source_report_id,source_url,report_year
Amazon Web Services,AWS direct data-centre operations (water-positive goal),AWS contracted future replenishment,2025,Water replenishment delivered,water_replenishment,replenishment,18,billion L,18000000000.0,greater_than,Forward-looking contracted volume,amazon_2025_sustainability_report,https://sustainability.aboutamazon.com/,2025
Amazon Web Services,AWS direct data-centre operations (water-positive goal),AWS direct data-centre operations,2024,Water-positive progress,water_positive_progress,replenishment,53,%,,exact,"Progress metric, not an operational water volume",amazon_2025_sustainability_report,https://sustainability.aboutamazon.com/,2025
Amazon Web Services,AWS direct data-centre operations (water-positive goal),AWS direct data-centre operations,2025,Water-positive progress,water_positive_progress,replenishment,75,%,,exact,"Progress metric, not an operational water volume",amazon_2025_sustainability_report,https://sustainability.aboutamazon.com/,2025
Amazon Web Services,AWS global data-centre fleet,AWS global data-centre fleet,2025,Cooling water avoided / potable water preserved,avoided_water,avoided_use,938,million L,938000000.0,exact,"Amazon corporate operations and offices; region- or workload-level attribution; Avoided/preserved water, not an operational withdrawal or consumption",amazon_2025_sustainability_report,https://sustainability.aboutamazon.com/,2025
Amazon Web Services,AWS global data-centre fleet,AWS global data-centre fleet,2025,Cooling water avoided / potable water preserved,avoided_water,avoided_use,849,million L,849000000.0,exact,"Amazon corporate operations and offices; region- or workload-level attribution; Avoided/preserved water, not an operational withdrawal or consumption",amazon_2025_sustainability_report,https://sustainability.aboutamazon.com/,2025
Amazon Web Services,AWS water-positive / replenishment program,AWS replenishment projects,2025,Expected annual replenishment return,water_replenishment,replenishment,5.8,billion US gal,21955388347.2,greater_than,Secondary source,aws_withdrawal_trellis_2025,https://trellis.net/article/behind-amazons-industry-leading-water-efficiency-score/,2025
Amazon Web Services,AWS water-positive / replenishment program,AWS replenishment projects,2030 target,Expected annual replenishment return,water_replenishment,replenishment,19.0,billion US gal,71922823896.0,greater_than,Forward-looking target; secondary source,aws_withdrawal_trellis_2025,https://trellis.net/article/behind-amazons-industry-leading-water-efficiency-score/,2025
Amazon Web Services,AWS direct data-centre operations (water-positive goal),AWS water replenishment portfolio (45 projects),2025,Water replenishment delivered,water_replenishment,replenishment,9.4,billion L,9400000000.0,exact,"Replenishment/offset, not netted against withdrawal; 45 projects at end of 2025",amazon_2025_sustainability_report,https://sustainability.aboutamazon.com/,2025
Amazon Web Services,AWS water-positive / replenishment program,AWS water-positive program,2025,Progress toward 2030 water-positive goal,water_positive_progress,replenishment,75.0,%,,approximate,Progress metric; not an operational water volume,aws_water_efficiency_page_2025,https://www.aboutamazon.com/news/sustainability/amazon-data-center-water-usage,2025
Amazon Web Services,AWS water-positive / replenishment program,AWS water-positive program,2025,Water returned per water used,water_positive_progress,replenishment,0.75,gallon returned per gallon used,,exact,"Return-to-use ratio; a replenishment/offset metric, not operational water",aws_water_efficiency_page_2025,https://www.aboutamazon.com/news/sustainability/amazon-data-center-water-usage,2025
Amazon Web Services,AWS water-positive / replenishment program,AWS water-positive program (50+ projects),2025,Expected annual replenishment return,water_replenishment,replenishment,5.8,billion US gal,21955388347.2,greater_than,"Expected annual return; replenishment, not operational water",aws_water_efficiency_page_2025,https://www.aboutamazon.com/news/sustainability/amazon-data-center-water-usage,2025
