provider,service_applicability,region,period,wue_l_per_kwh,value_qualifier,water_flow,denominator,caveat,source_report_id,source_url,report_year
Amazon Web Services,AWS global data-centre fleet,AWS global data centres,2025,0.12,exact,withdrawal,it_load_energy,Not region- or workload-attributed; not Amazon corporate operations; Secondary source; withdrawal classification follows AWS's primary WUE definition,aws_withdrawal_trellis_2025,https://trellis.net/article/behind-amazons-industry-leading-water-efficiency-score/,2025
Amazon Web Services,AWS global data-centre fleet,AWS global data-centre footprint,2021,0.25,exact,withdrawal,it_load_energy,Not region- or workload-attributed; not Amazon corporate operations; Fleet average; baseline year,aws_water_efficiency_page_2025,https://www.aboutamazon.com/news/sustainability/amazon-data-center-water-usage,2025
Amazon Web Services,AWS global data-centre fleet,AWS global data-centre footprint,2025,0.12,exact,withdrawal,it_load_energy,Not region- or workload-attributed; not Amazon corporate operations; Fleet average; global data-centre footprint,aws_water_efficiency_page_2025,https://www.aboutamazon.com/news/sustainability/amazon-data-center-water-usage,2025
Amazon Web Services,AWS global data-centre fleet,AWS global fleet,2021,0.25,exact,withdrawal,it_load_energy,Amazon corporate operations and offices; region- or workload-level attribution; Fleet average; not regional or workload-attributed; Baseline year,amazon_2025_sustainability_report,https://sustainability.aboutamazon.com/,2025
Amazon Web Services,AWS global data-centre fleet,AWS global fleet,2022,0.19,exact,withdrawal,it_load_energy,Amazon corporate operations and offices; region- or workload-level attribution; Fleet average; not regional or workload-attributed,amazon_2025_sustainability_report,https://sustainability.aboutamazon.com/,2025
Amazon Web Services,AWS global data-centre fleet,AWS global fleet,2023,0.18,exact,withdrawal,it_load_energy,Amazon corporate operations and offices; region- or workload-level attribution; Fleet average; not regional or workload-attributed,amazon_2025_sustainability_report,https://sustainability.aboutamazon.com/,2025
Amazon Web Services,AWS global data-centre fleet,AWS global fleet,2024,0.15,exact,withdrawal,it_load_energy,Amazon corporate operations and offices; region- or workload-level attribution; Fleet average; not regional or workload-attributed,amazon_2025_sustainability_report,https://sustainability.aboutamazon.com/,2025
Amazon Web Services,AWS global data-centre fleet,AWS global fleet,2025,0.12,exact,withdrawal,it_load_energy,Amazon corporate operations and offices; region- or workload-level attribution; Fleet average; not regional or workload-attributed,amazon_2025_sustainability_report,https://sustainability.aboutamazon.com/,2025
Amazon Web Services,Data-centre industry average,Data-centre industry average,2025,0.84,exact,provider_reported_water_use,it_load_energy,Industry-average benchmark cited by AWS; not AWS's own value,aws_water_efficiency_page_2025,https://www.aboutamazon.com/news/sustainability/amazon-data-center-water-usage,2025
Microsoft,Microsoft owned-datacentre fleet,Microsoft owned datacentres (global),FY25,0.27,exact,provider_reported_water_use,it_equipment_energy,"Not Azure-specific; fleet average, not a workload factor",microsoft_2026_environmental_sustainability_report,https://www.microsoft.com/en-us/corporate-responsibility/sustainability/report,2026
Microsoft,Microsoft owned-and-controlled datacentres,Microsoft owned datacentres — Americas,FY24,0.38,exact,provider_reported_water_use,it_equipment_energy,Not Azure-specific; Datacentres not operational for the full 12 months; Not Azure-specific; owned-datacentre regional average,microsoft_datacenter_wue_page,https://datacenters.microsoft.com/sustainability/efficiency/,2025
Microsoft,Microsoft owned-and-controlled datacentres,Microsoft owned datacentres — Americas,FY25,0.34,exact,provider_reported_water_use,it_equipment_energy,Not Azure-specific; Datacentres not operational for the full 12 months; Not Azure-specific; owned-datacentre regional average,microsoft_datacenter_wue_page,https://datacenters.microsoft.com/sustainability/efficiency/,2025
Microsoft,Microsoft owned-and-controlled datacentres,Microsoft owned datacentres — Asia Pacific,FY24,0.03,exact,provider_reported_water_use,it_equipment_energy,Not Azure-specific; Datacentres not operational for the full 12 months; Not Azure-specific; owned-datacentre regional average,microsoft_datacenter_wue_page,https://datacenters.microsoft.com/sustainability/efficiency/,2025
Microsoft,Microsoft owned-and-controlled datacentres,Microsoft owned datacentres — Asia Pacific,FY25,0.25,exact,provider_reported_water_use,it_equipment_energy,Not Azure-specific; Datacentres not operational for the full 12 months; Not Azure-specific; owned-datacentre regional average,microsoft_datacenter_wue_page,https://datacenters.microsoft.com/sustainability/efficiency/,2025
Microsoft,Microsoft owned-and-controlled datacentres,"Microsoft owned datacentres — Europe, Middle East & Africa",FY24,0.03,exact,provider_reported_water_use,it_equipment_energy,Not Azure-specific; Datacentres not operational for the full 12 months; Not Azure-specific; owned-datacentre regional average,microsoft_datacenter_wue_page,https://datacenters.microsoft.com/sustainability/efficiency/,2025
Microsoft,Microsoft owned-and-controlled datacentres,"Microsoft owned datacentres — Europe, Middle East & Africa",FY25,0.03,exact,provider_reported_water_use,it_equipment_energy,Not Azure-specific; Datacentres not operational for the full 12 months; Not Azure-specific; owned-datacentre regional average,microsoft_datacenter_wue_page,https://datacenters.microsoft.com/sustainability/efficiency/,2025
Microsoft,Microsoft owned-and-controlled datacentres,Microsoft owned datacentres — Global,FY24,0.3,exact,provider_reported_water_use,it_equipment_energy,Not Azure-specific; Datacentres not operational for the full 12 months; Not Azure-specific; owned-datacentre regional average,microsoft_datacenter_wue_page,https://datacenters.microsoft.com/sustainability/efficiency/,2025
Microsoft,Microsoft owned-and-controlled datacentres,Microsoft owned datacentres — Global,FY25,0.27,exact,provider_reported_water_use,it_equipment_energy,Not Azure-specific; Datacentres not operational for the full 12 months; Not Azure-specific; owned-datacentre regional average,microsoft_datacenter_wue_page,https://datacenters.microsoft.com/sustainability/efficiency/,2025
