provider,scope,location,period,metric,category,water_flow,value,reported_unit,value_liters,value_qualifier,caveat,source_report_id,source_url
Microsoft,Microsoft water replenishment program,34 priority locations globally,FY25,"Contracted replenishment volume (lifetime, to date)",water_replenishment,replenishment,133.0,million m3,133000000000.0,greater_than,Cumulative lifetime figure across contracted projects; not an annual operational volume,microsoft_2026_environmental_sustainability_report,https://www.microsoft.com/en-us/corporate-responsibility/sustainability/report
Microsoft,Microsoft-owned datacentre location (FY25),Cheyenne (WY) datacentre,FY25,Water replenishment delivered,water_replenishment,replenishment,61.0,ML,61000000.0,exact,Excludes commissioning and locations collectively <1% of owned-datacentre withdrawal/electricity; Section 2 detail; not part of the assured Section 1 metrics.,microsoft_2026_environmental_data_factsheet,https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/final/en-us/microsoft-brand/documents/2026-Environmental-Data-Fact-Sheet.pdf
Microsoft,"Chicago, Illinois campus","Chicago, Illinois campus",FY25,Municipal water use reduction (year over year),water_positive_progress,provider_reported_water_use,30.0,%,,greater_than,Single-campus result; not fleet-wide,microsoft_2026_environmental_sustainability_report,https://www.microsoft.com/en-us/corporate-responsibility/sustainability/report
Microsoft,Microsoft-owned datacentre location (FY25),Des Moines (IA) datacentre,FY25,Water replenishment delivered,water_replenishment,replenishment,122.0,ML,122000000.0,exact,Excludes commissioning and locations collectively <1% of owned-datacentre withdrawal/electricity; Section 2 detail; not part of the assured Section 1 metrics.,microsoft_2026_environmental_data_factsheet,https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/final/en-us/microsoft-brand/documents/2026-Environmental-Data-Fact-Sheet.pdf
Microsoft,FIDO Tech leak-repair partnership (community),FIDO Tech partnership (community leak repairs),FY25,Water conserved via leak-repair partnership,water_positive_progress,avoided_use,8.5,million m3,8500000000.0,greater_than,Community/watershed conservation outside Microsoft operations; cumulative to date,microsoft_2026_environmental_sustainability_report,https://www.microsoft.com/en-us/corporate-responsibility/sustainability/report
Microsoft,Microsoft-owned datacentre location (FY25),Madrid datacentre,FY25,Water replenishment delivered,water_replenishment,replenishment,515.0,ML,515000000.0,exact,Excludes commissioning and locations collectively <1% of owned-datacentre withdrawal/electricity; Section 2 detail; not part of the assured Section 1 metrics.,microsoft_2026_environmental_data_factsheet,https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/final/en-us/microsoft-brand/documents/2026-Environmental-Data-Fact-Sheet.pdf
Microsoft,Microsoft owned-datacentre fleet,Microsoft owned datacentres (global),FY25,WUE reduction versus 2022 baseline,water_positive_progress,provider_reported_water_use,25.0,%,,exact,"Not Azure-specific; fleet average, not a workload factor",microsoft_2026_environmental_sustainability_report,https://www.microsoft.com/en-us/corporate-responsibility/sustainability/report
Microsoft,Microsoft owned-datacentre fleet,Microsoft owned datacentres (global),FY30 target,WUE reduction versus 2022 baseline,water_positive_progress,provider_reported_water_use,40.0,%,,exact,"Not Azure-specific; fleet average, not a workload factor",microsoft_2026_environmental_sustainability_report,https://www.microsoft.com/en-us/corporate-responsibility/sustainability/report
Microsoft,Microsoft water replenishment program,Microsoft replenishment program,FY25,Expected lifetime replenishment benefit,water_replenishment,replenishment,29.0,million m3,29000000000.0,greater_than,,microsoft_2026_environmental_sustainability_report,https://www.microsoft.com/en-us/corporate-responsibility/sustainability/report
Microsoft,Microsoft water replenishment program,Microsoft replenishment program,FY25,Water replenishment delivered,water_replenishment,replenishment,14.2,million m3,14200000000.0,greater_than,Replenishment is not withdrawal/consumption/discharge; delivered locally watershed by watershed,microsoft_2026_environmental_sustainability_report,https://www.microsoft.com/en-us/corporate-responsibility/sustainability/report
Microsoft,Per-datacentre cooling design benchmark,Per-datacentre design benchmark,FY25,Designed avoided cooling water per datacentre,avoided_water,avoided_use,125.0,million L,125000000.0,greater_than,,microsoft_2026_environmental_sustainability_report,https://www.microsoft.com/en-us/corporate-responsibility/sustainability/report
Microsoft,Microsoft-owned datacentre location (FY25),Phoenix (AZ) datacentre,FY25,Water replenishment delivered,water_replenishment,replenishment,2675.0,ML,2675000000.0,exact,Excludes commissioning and locations collectively <1% of owned-datacentre withdrawal/electricity; Section 2 detail; not part of the assured Section 1 metrics.,microsoft_2026_environmental_data_factsheet,https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/final/en-us/microsoft-brand/documents/2026-Environmental-Data-Fact-Sheet.pdf
Microsoft,"Phoenix, Arizona datacentres","Phoenix, Arizona datacentres",FY25,WUE reduction versus 2022 baseline,water_positive_progress,provider_reported_water_use,23.0,%,,exact,,microsoft_2026_environmental_sustainability_report,https://www.microsoft.com/en-us/corporate-responsibility/sustainability/report
Microsoft,Microsoft-owned datacentre location (FY25),Queretaro datacentre,FY25,Water replenishment delivered,water_replenishment,replenishment,1119.0,ML,1119000000.0,exact,Excludes commissioning and locations collectively <1% of owned-datacentre withdrawal/electricity; Section 2 detail; not part of the assured Section 1 metrics.,microsoft_2026_environmental_data_factsheet,https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/final/en-us/microsoft-brand/documents/2026-Environmental-Data-Fact-Sheet.pdf
Microsoft,Microsoft-owned datacentre location (FY25),Quincy (WA) datacentre,FY25,Water replenishment delivered,water_replenishment,replenishment,833.0,ML,833000000.0,exact,Excludes commissioning and locations collectively <1% of owned-datacentre withdrawal/electricity; Section 2 detail; not part of the assured Section 1 metrics.,microsoft_2026_environmental_data_factsheet,https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/final/en-us/microsoft-brand/documents/2026-Environmental-Data-Fact-Sheet.pdf
