provider,scope,location,period,metric,category,water_flow,value,reported_unit,value_liters,value_qualifier,caveat,source_report_id,source_url,report_year
Google (Alphabet Inc.),Google water replenishment program,Google offices and data centres,2030 target,Replenishment ambition (2030 target),water_positive_progress,replenishment,120,%,,exact,,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google water replenishment program,Google operations,2022,Replenishment as share of freshwater consumption,water_positive_progress,replenishment,6,%,,exact,,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google water replenishment program,Google operations,2023,Replenishment as share of freshwater consumption,water_positive_progress,replenishment,18,%,,exact,,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google water replenishment program,Google operations,2024,Replenishment as share of freshwater consumption,water_positive_progress,replenishment,63,%,,exact,,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google water replenishment program,Google operations,2025,Replenishment as share of freshwater consumption,water_positive_progress,replenishment,78,%,,exact,,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google water replenishment program,Google replenishment program,2022,Water replenishment delivered,water_replenishment,replenishment,271,million US gal,1025846593.464,exact,,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google water replenishment program,Google replenishment program,2022,Water replenishment capacity,water_replenishment,replenishment,1317,million US gal,4985387319.528,exact,,google_environmental_report_2025,https://sustainability.google/reports/google-2025-environmental-report/,2025
Google (Alphabet Inc.),Google water replenishment program,Google replenishment program,2023,Water replenishment delivered,water_replenishment,replenishment,1036,million US gal,3921686608.224,exact,,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google water replenishment program,Google replenishment program,2023,Water replenishment capacity,water_replenishment,replenishment,2815,million US gal,10655934171.96,exact,,google_environmental_report_2025,https://sustainability.google/reports/google-2025-environmental-report/,2025
Google (Alphabet Inc.),Google water replenishment program,Google replenishment program,2024,Water replenishment delivered,water_replenishment,replenishment,4590,million US gal,17375040088.56,exact,,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google water replenishment program,Google replenishment program,2024,Water replenishment capacity,water_replenishment,replenishment,8268,million US gal,31297784630.112,exact,,google_environmental_report_2025,https://sustainability.google/reports/google-2025-environmental-report/,2025
Google (Alphabet Inc.),Google water replenishment program,Google replenishment program,2025,Water replenishment delivered,water_replenishment,replenishment,7717,million US gal,29212022737.128,exact,,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google water replenishment program,Google replenishment program,2030,Water replenishment capacity,water_replenishment,replenishment,19722,million US gal,74655891204.048,approximate,,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
